Date,Close,Change,Open,High,Low,Volume,Tziros
26/6/2019,0.41,"-0,1230%","0,4055","0,4155",405,474.172,"195.062,66"
27/6/2019,0.42,"3,6946%","0,4",442,"0,4",995.386,"422.033,49"
28/6/2019,0.44,"3,5629%","0,4285",442,428,512.312,"224.449,03"
01/7/2019,0.48,"10,0917%",445,487,442,1.022.462,"477.505,45"
02/7/2019,0.49,"2,0833%","0,48","0,51","0,48",1.052.715,"524.430,51"
03/7/2019,0.49,"-0,2041%","0,49",499,"0,48",832.165,"407.751,06"
04/7/2019,0.52,"6,9530%",489,"0,53",489,1.290.570,"668.137,21"
05/7/2019,0.51,"-3,4417%",526,531,"0,5",944.33,"483.236,49"
08/7/2019,0.48,"-4,5545%",515,515,482,539.215,"264.532,53"
09/7/2019,0.45,"-6,6390%","0,4825","0,4925","0,45",935.574,"442.160,74"
10/7/2019,0.49,"8,6667%",478,489,"0,4675",845.053,"406.376,60"
11/7/2019,0.48,"-1,9427%",495,"0,51",468,1.121.928,"554.529,86"
12/7/2019,0.48,"-0,9385%","0,4795",487,462,207.377,"97.675,19"
15/7/2019,0.47,"-1,2632%",475,"0,49",463,367.364,"174.350,26"
16/7/2019,0.48,"2,2388%",468,"0,4825",466,335.248,"159.722,46"
17/7/2019,0.50,"5,1095%","0,48","0,51",478,1.418.383,"709.105,09"
18/7/2019,0.50,"-1,7857%",501,512,"0,4855",615.623,"307.030,57"
19/7/2019,0.50,"0,0000%",506,506,495,293.128,"146.866,34"
22/7/2019,0.50,"0,2020%","0,5",519,492,799.028,"405.903,38"
23/7/2019,0.53,"6,0484%",503,528,486,847.613,"433.811,27"
24/7/2019,0.55,"3,8023%",526,553,526,1.014.002,"550.584,18"
25/7/2019,0.52,"-4,5788%","0,55",579,521,1.698.637,"945.059,31"
26/7/2019,0.53,"1,1516%",521,"0,54","0,51",1.069.593,"558.818,45"
29/7/2019,0.52,"-1,1385%","0,53",532,515,644.782,"338.236,34"
30/7/2019,0.52,"0,3839%",521,529,516,970.73,"507.403,47"
31/7/2019,0.58,"10,3250%",532,577,"0,53",1.671.315,"927.736,87"
01/8/2019,0.56,"-2,9463%",565,577,556,632.561,"357.996,70"
02/8/2019,0.55,"-2,5000%","0,55",561,"0,54",371.11,"203.251,81"
05/8/2019,0.51,"-6,4103%",546,546,505,807.391,"419.509,07"
06/8/2019,0.52,"0,7828%","0,51",523,502,432.574,"222.012,36"
07/8/2019,0.48,"-7,5728%",524,526,471,409.413,"205.536,92"
08/8/2019,0.49,"2,9412%","0,49",492,"0,48",431.442,"210.181,98"
09/8/2019,0.48,"-3,0612%",495,496,465,224.905,"108.568,65"
12/8/2019,0.46,"-3,1579%",483,"0,4875","0,46",374.912,"176.850,07"
13/8/2019,0.48,"4,6739%","0,44","0,4875","0,44",775.609,"370.475,31"
14/8/2019,0.47,"-2,3884%","0,48",486,"0,47",249.134,"118.632,15"
16/8/2019,0.48,"1,8085%",461,"0,48",452,374.81,"177.075,35"
19/8/2019,0.50,"4,4932%",475,502,468,483.797,"239.839,89"
20/8/2019,0.50,"0,0000%",491,506,"0,48",351.128,"173.529,61"
21/8/2019,0.50,"-0,6000%",492,509,483,266.991,"133.320,69"
22/8/2019,0.51,"1,6097%","0,4915",505,483,287.345,"144.065,16"
23/8/2019,0.49,"-2,9703%",497,504,487,310.281,"153.604,36"
26/8/2019,0.48,"-1,8367%","0,48","0,4915","0,47",305.425,"147.299,83"
27/8/2019,0.47,"-1,8711%",481,"0,4925",469,425.17,"205.681,14"
28/8/2019,0.48,"2,0127%","0,48",493,467,590.69,"283.967,61"
29/8/2019,0.47,"-2,8037%","0,49","0,4955",459,1.184.180,"569.965,55"
