date,close,open,high,low,volume,change
1-Sep-10,1080.29,"1,049.72","1,081.30","1,049.72",-,2.95%
2-Sep-10,1090.10,"1,080.66","1,090.10","1,080.39",-,0.91%
3-Sep-10,1104.51,"1,093.61","1,105.10","1,093.61",-,1.32%
7-Sep-10,1091.84,"1,102.60","1,102.60","1,091.15",-,-1.15%
8-Sep-10,1098.87,"1,092.36","1,103.26","1,092.36",-,0.64%
9-Sep-10,1104.18,"1,101.15","1,110.27","1,101.15",-,0.48%
10-Sep-10,1109.55,"1,104.57","1,110.88","1,103.92",-,0.49%
13-Sep-10,1121.90,"1,113.38","1,123.87","1,113.38",-,1.11%
14-Sep-10,1121.10,"1,121.16","1,127.36","1,115.58",-,-0.07%
15-Sep-10,1125.07,"1,119.43","1,126.46","1,114.63",-,0.35%
16-Sep-10,1124.66,"1,123.89","1,125.44","1,118.88",-,-0.04%
17-Sep-10,1125.59,"1,126.39","1,131.47","1,122.43",-,0.08%
20-Sep-10,1142.71,"1,126.57","1,144.86","1,126.57",-,1.52%
21-Sep-10,1139.78,"1,142.82","1,148.59","1,136.22",-,-0.26%
22-Sep-10,1134.28,"1,139.49","1,144.38","1,131.58",-,-0.48%
23-Sep-10,1124.83,"1,131.10","1,136.77","1,122.79",-,-0.83%
24-Sep-10,1148.67,"1,131.69","1,148.90","1,131.69",-,2.12%
27-Sep-10,1142.16,"1,148.64","1,149.92","1,142.00",-,-0.57%
28-Sep-10,1147.70,"1,142.31","1,150.00","1,132.09",-,0.49%
29-Sep-10,1144.73,"1,146.75","1,148.63","1,140.26",-,-0.26%
30-Sep-10,1141.20,"1,145.97","1,157.16","1,136.08",-,-0.31%
1-Oct-10,1146.24,"1,143.49","1,150.30","1,139.42",-,0.44%
4-Oct-10,1137.03,"1,144.96","1,148.16","1,131.87",-,-0.80%
5-Oct-10,1160.75,"1,140.68","1,162.76","1,140.68",-,2.09%
6-Oct-10,1159.97,"1,159.81","1,162.33","1,154.85",-,-0.07%
7-Oct-10,1158.06,"1,161.57","1,163.87","1,151.41",-,-0.16%
8-Oct-10,1165.15,"1,158.36","1,167.73","1,155.58",-,0.61%
11-Oct-10,1165.32,"1,165.32","1,168.68","1,162.02",-,0.01%
12-Oct-10,1169.77,"1,164.28","1,172.58","1,155.71",-,0.38%
13-Oct-10,1178.10,"1,171.32","1,184.38","1,171.32",-,0.71%
